name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bucharest,2024-03-01T00:00:00,6.8,4.6,5.6,92.2,0,0,,0,0,31,11.1,51,1020.5,100,6.3,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T01:00:00,6.8,4.7,5.4,90.32,0,0,,0,0,32.8,10.9,60,1020.2,100,8.1,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T02:00:00,6.5,5,5.2,90.82,0,0,,0,0,30.6,7.8,60,1019.7,100,9,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T03:00:00,6.4,4.8,5.1,91.97,0,0,,0,0,31.3,7.6,60,1019.5,100,7.9,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T04:00:00,6.3,4.8,5.1,92.13,0,0,,0,0,29.9,7.8,51,1019.1,100,7.9,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T05:00:00,6.3,4.8,5.1,92.08,0,0,,0,0,29.5,7.8,51,1019,100,7.9,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T06:00:00,6.3,4.8,5,91.4,0,0,,0,0,27,7.5,51,1019.1,100,8.9,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T07:00:00,6.1,4.6,4.7,90.25,0,0,,0,0,27.7,7.6,50,1019,100,9.1,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T08:00:00,6.1,3.9,4.8,91.33,0.001,100,rain,0,0,32.4,10.8,50,1018.6,100,11.9,,,,,"Rain, Overcast",rain,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T09:00:00,6.5,4.2,5,90.27,0,0,,0,0,31.3,11.3,61,1018.9,100,12.8,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T10:00:00,7.1,5.7,5.1,87.33,0,0,,0,0,29.5,7.6,60,1018.6,100,11.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T11:00:00,7.8,5.8,5.3,84.54,0,0,,0,0,34.2,11.2,51,1018.4,100,11,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T12:00:00,9.7,8.1,5.8,76.73,0,0,,0,0,38.9,11.2,51,1018.1,100,16.6,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T13:00:00,8.8,7.7,5.1,77.57,0,0,,0,0,40,7.9,51,1018,99.8,17,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T14:00:00,9.3,7.7,5.1,75.01,0,0,,0,0,38.5,10.9,60,1017.6,100,18.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T15:00:00,10.3,10.3,5.6,72.62,0,0,,0,0,38.5,11.2,60,1016.4,100,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T16:00:00,10.8,10.8,5.3,68.73,0,0,,0,0,38.2,11.2,61,1016.1,100,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T17:00:00,10.5,10.5,5.1,69.08,0,0,,0,0,36,11.2,51,1015.8,100,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T18:00:00,10.1,10.1,5.1,71.01,0,0,,0,0,33.5,7.7,42,1015.6,100,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T19:00:00,9.6,8.6,5.1,73.24,0,0,,0,0,29.5,7.8,51,1015.7,99.4,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T20:00:00,9.3,7.7,5.1,74.81,0,0,,0,0,32,10.9,60,1016,98.8,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T21:00:00,8.8,7,5.1,77.57,0,0,,0,0,32,11.2,51,1015.7,99.4,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T22:00:00,8.6,6.8,5.3,79.66,0,0,,0,0,31.7,11.2,60,1015.8,99.4,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-01T23:00:00,8,5,4.3,77.11,0,0,,0,0,30.6,19.3,61,1016,90,14.2,,,,,Partially cloudy,partly-cloudy-night,"LRBS,LROP,15420099999"
bucharest,2024-03-02T00:00:00,8.6,6.8,4.9,77.7,0,0,,0,0,29.5,11,60,1015.8,99.4,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T01:00:00,7.8,6.5,4.1,77.39,0,0,,0,0,34.9,7.8,51,1015.6,98.8,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T02:00:00,7.6,5.6,4.1,78.05,0,0,,0,0,36,11.2,41,1015.2,99.4,19.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T03:00:00,7.3,5.9,4.3,81.26,0,0,,0,0,36.7,7.8,41,1015,100,19.7,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T04:00:00,6.8,5.4,4.1,82.95,0,0,,0,0,36.4,7.7,51,1014.8,100,16.8,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T05:00:00,6.3,4,3.8,84.04,0,0,,0,0,33.5,11.1,50,1014.3,100,15.8,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T06:00:00,5.6,3.2,3.6,86.87,0,0,,0,0,32.8,11.2,50,1014.5,100,13.1,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T07:00:00,5.1,3.4,3.1,86.78,0,0,,0,0,32.4,7.7,50,1014.6,90.8,14,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T08:00:00,5.3,2.9,3,85.05,0,0,,0,0,27.4,11,50,1014.8,90.8,13.2,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T09:00:00,6.1,3.8,3.1,80.98,0,0,,0,0,29.5,11.1,51,1014.7,100,16.1,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T10:00:00,8.1,6.9,4,75.35,0,0,,0,0,33.1,7.5,51,1014.6,100,17,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T11:00:00,9.1,8.1,4.1,70.71,0,0,,0,0,33.1,7.6,61,1014.6,100,16.1,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T12:00:00,10,10,4.1,66.57,0,0,,0,0,32,7.8,52,1014.3,100,19.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T13:00:00,11.1,11.1,4,61.22,0,0,,0,0,31.3,11.1,51,1013.7,100,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T14:00:00,11.8,11.8,2.6,53.19,0,0,,0,0,29.5,7.8,51,1013.6,100,19.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T15:00:00,12.1,12.1,2.6,52.38,0,0,,0,0,31,7.4,52,1013.4,100,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T16:00:00,12.7,12.7,2.4,49.64,0,0,,0,0,29.2,7.6,42,1013.2,99.9,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T17:00:00,13.3,13.3,2.5,47.76,0,0,,0,0,27.4,7.8,42,1013.2,99.9,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T18:00:00,11.9,11.9,2.4,52.2,0,0,,0,0,24.5,10.9,60,1013.6,99.9,20,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T19:00:00,10.4,10.4,2.5,58.3,0,0,,0,0,16.6,7.5,42,1014.1,99.9,17.2,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T20:00:00,9.9,9,1.8,57.44,0,0,,0,0,14.8,7.4,41,1014.6,81.5,16.2,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T21:00:00,9.3,8.4,0.6,54.28,0,0,,0,0,16.6,7.5,50,1014.9,81.5,16.1,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T22:00:00,8.5,7.4,1.3,60.63,0,0,,0,0,19.4,7.4,50,1015.2,90.8,16.1,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-02T23:00:00,7.8,6.6,1.6,64.71,0,0,,0,0,21.2,7.2,41,1015.4,100,18.2,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T00:00:00,7.3,6,1.8,68.25,0,0,,0,0,21.2,7.4,41,1015.5,90.8,18,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T01:00:00,6.3,4.9,2,73.92,0,0,,0,0,18.7,7.2,40,1015.5,90.8,17,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T02:00:00,6.1,6.1,2.1,75.43,0,0,,0,0,14.4,3.9,49,1015.7,90.7,17,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T03:00:00,4.6,4.6,1.7,81.78,0,0,,0,0,14,3.7,28,1015.6,80.1,16,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T04:00:00,4.7,4.7,1.5,80.21,0,0,,0,0,11.2,3.6,38,1015.1,90.1,15.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T05:00:00,3.8,3.8,1,81.83,0,0,,0,0,8.6,3.6,9,1015.1,89.9,15.7,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T06:00:00,3,3,0.9,86.46,0,0,,0,0,6.8,0.1,346,1015.3,99.8,14.7,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T07:00:00,3,3,1,87.06,0,0,,0,0,6.5,0.3,40,1015.4,99.9,13.7,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T08:00:00,4,4,1.3,82.44,0,0,,0,0,9.4,0.1,37,1015.9,100,13.8,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T09:00:00,5.8,5.8,2.1,77.21,0,0,,0,0,10.4,0.3,43,1016.1,100,13,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T10:00:00,7.3,7.3,2.6,72.13,0,0,,0,0,10.4,3.6,92,1016.1,100,14.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T11:00:00,8.6,8.6,2,62.88,0,0,,0,0,10.1,3.6,83,1016,90.8,15,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T12:00:00,10,10,1,53.36,0,0,,0,0,10.4,3.4,60,1015.9,100,16,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T13:00:00,11.4,11.4,0,45.64,0,0,,0,0,9.7,3.6,103,1015.5,81.5,16.1,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T14:00:00,12.5,12.5,-0.8,39.78,0,0,,0,0,9,3.5,103,1014.8,80.2,18.8,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T15:00:00,12.9,12.9,-0.2,40.65,0,0,,0,0,8.6,3.9,170,1014.4,51.3,19.7,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T16:00:00,13.2,13.2,-0.2,39.83,0,0,,0,0,9,3.6,139,1014,32.3,18.9,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T17:00:00,12.4,12.4,0.1,42.74,0,0,,0,0,10.8,3.6,123,1014,60,19.8,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T18:00:00,11.4,11.4,0.6,47.56,0,0,,0,0,11.9,3.9,170,1014.1,79.1,18.9,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T19:00:00,9.8,9.8,0.6,52.82,0,0,,0,0,15.1,3.7,133,1014.3,77.8,19.7,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T20:00:00,8.6,8.6,1.3,60.37,0,0,,0,0,15.5,3.7,103,1014.7,84,15,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T21:00:00,7.8,7.8,1.2,63.08,0,0,,0,0,15.8,3.6,90,1014.8,46.8,13.7,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T22:00:00,7.1,7.1,1.3,66.71,0,0,,0,0,14.8,3.6,101,1015.2,27.7,13.9,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-03T23:00:00,5.9,5.9,1.6,73.79,0,0,,0,0,13.7,3.7,62,1015.4,0.6,13.9,,,,,Clear,clear-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T00:00:00,5.5,5.5,2,78.67,0,0,,0,0,12.2,3.7,79,1015.1,0.2,13.9,,,,,Clear,clear-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T01:00:00,4.9,4.9,2.4,83.71,0,0,,0,0,9.4,3.7,57,1015,0,12.8,,,,,Clear,clear-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T02:00:00,4.1,4.1,2.4,88.99,0,0,,0,0,9,3.7,46,1015,0,10.8,,,,,Clear,clear-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T03:00:00,3.5,3.5,2.2,91.41,0,0,,0,0,9,3.9,19,1014.9,0,9.7,,,,,Clear,clear-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T04:00:00,3.6,3.6,2.2,90.4,0,0,,0,0,9.7,3.7,17,1015.1,0,9.6,,,,,Clear,clear-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T05:00:00,3.7,3.7,2.6,91.97,0,0,,0,0,10.1,3.9,28,1015,0,7.8,,,,,Clear,clear-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T06:00:00,3.4,3.4,2,90.37,0,0,,0,0,10.4,3.7,29,1015.1,0,7.6,,,,,Clear,clear-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T07:00:00,3.4,3.4,2.1,91.57,0,0,,0,0,10.8,3.7,39,1015.3,0,8.1,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T08:00:00,3.5,3.5,2.4,92.82,0,0,,0,0,14,3.6,49,1015.8,0,8,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T09:00:00,6,6,2.8,80.1,0,0,,0,0,18.7,3.8,40,1016.1,0,9.9,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T10:00:00,8,8,2.9,69.96,0,0,,0,0,20.2,3.9,29,1015.9,0.6,11.9,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T11:00:00,10.5,10.5,3.8,63.47,0,0,,0,0,23,7.5,40,1015.5,0,15.9,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T12:00:00,13.1,13.1,4.5,56.05,0,0,,0,0,23.4,7.3,49,1015.1,0,16.9,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T13:00:00,14.5,14.5,4.6,51.47,0,0,,0,0,23.4,4,24,1014.7,0,18.9,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T14:00:00,15.6,15.6,5.1,49.75,0,0,,0,0,20.2,3.9,60,1014.1,0,19.7,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T15:00:00,16.5,16.5,5,46.64,0,0,,0,0,22.3,3.9,53,1013.3,0,19.9,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T16:00:00,16.6,16.6,4.7,45.15,0,0,,0,0,23.8,7.2,32,1012.7,0.2,20,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T17:00:00,16.1,16.1,4.8,47.09,0,0,,0,0,23.8,7.3,79,1012.2,1.5,20,,,,,Clear,clear-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T18:00:00,14.3,14.3,5.1,53.88,0,0,,0,0,22.3,7.2,70,1012.1,27.8,20,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T19:00:00,12.8,12.8,5.1,59.69,0,0,,0,0,15.1,3.9,50,1011.9,30.3,20,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T20:00:00,12,12,5.5,64.59,0,0,,0,0,20.9,7.5,52,1012.2,29.5,20,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T21:00:00,10.7,10.7,5.3,69.24,0,0,,0,0,22.7,7.3,70,1012.3,38.8,20,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T22:00:00,9.5,8.6,5.1,73.85,0,0,,0,0,22.3,7.2,59,1012.2,40,19.9,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-04T23:00:00,8.9,7.9,4.6,74.41,0,0,,0,0,21.2,7.2,59,1012.3,77.5,19.8,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T00:00:00,7.5,6.2,3.8,77.24,0,0,,0,0,20.9,7.4,50,1012.2,79.1,18.8,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T01:00:00,5.8,5.8,3.1,82.42,0,0,,0,0,22,4.2,40,1012.1,79.1,10.4,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T02:00:00,5.1,3.4,3.2,87.09,0,0,,0,0,25.2,7.5,40,1012.1,80.3,10,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T03:00:00,4.5,2,3.4,92.03,0,0,,0,0,25.6,10.8,40,1011.8,90.1,9.7,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T04:00:00,4.9,3.1,3.7,92.12,0,0,,0,0,26.6,7.5,41,1011.6,99.9,9.6,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T05:00:00,5.3,3.7,4.3,93.42,0,0,,0,0,31.7,7.5,31,1011.4,99.9,9.6,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T06:00:00,6,4.5,4.8,92.19,0,0,,0,0,32,7.5,50,1011.4,99.9,9.5,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T07:00:00,5.8,4.2,4.8,93.46,0,0,,0,0,34.6,7.5,49,1011.6,100,9.4,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T08:00:00,5.6,3.2,4.8,94.82,0,0,,0,0,38.2,10.8,50,1011.6,100,2.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T09:00:00,5.8,4.2,5.1,95.43,0,0,,0,0,38.2,7.6,50,1012,100,2.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T10:00:00,6.1,4.5,5.3,94.74,0,0,,0,0,37.8,7.8,41,1012.3,100,3,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T11:00:00,6.6,5.2,5.8,94.55,0,0,,0,0,37.8,7.6,41,1012.4,100,5,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T12:00:00,7.8,6.5,5.8,87.14,0,0,,0,0,39.2,7.8,51,1012.6,100,10,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T13:00:00,8.6,6.8,5.5,80.98,0,0,,0,0,37.8,10.9,50,1012.4,100,12,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T14:00:00,10.8,10.8,6,72.34,0,0,,0,0,36,11.1,50,1011.9,90.8,15,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T15:00:00,11.3,11.3,5.6,67.88,0,0,,0,0,36,11.2,41,1011.4,89.4,17.2,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T16:00:00,12.6,12.6,5.6,62.36,0,0,,0,0,36.7,7.6,50,1011.3,31,20,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T17:00:00,11.7,11.7,5.1,64.15,0,0,,0,0,32,10.9,51,1011.7,47,20,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T18:00:00,10.1,10.1,4.3,67.23,0,0,,0,0,30.2,10.9,41,1012.2,74.3,20,,,,,Partially cloudy,partly-cloudy-day,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T19:00:00,8.6,6.8,3.3,69.43,0,0,,0,0,28.4,10.9,40,1013.1,58.1,19.9,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T20:00:00,7.8,6.6,2.6,69.74,0,0,,0,0,19.8,7.5,41,1013.9,78.5,18.9,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T21:00:00,7.1,5.8,2.3,71.49,0,0,,0,0,23.4,7.5,41,1014.4,89.5,16,,,,,Partially cloudy,partly-cloudy-night,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T22:00:00,7,5.7,2.5,73.02,0,0,,0,0,24.5,7.2,41,1014.7,90.6,13.2,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-05T23:00:00,6.6,5.2,2.1,72.95,0,0,,0,0,23.4,7.4,50,1015,99.7,13,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-06T00:00:00,6.3,4.9,2.3,75.51,0,0,,0,0,21.2,7.4,50,1015.4,100,12.1,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-06T01:00:00,6,4.5,2.3,77.13,0,0,,0,0,18.7,7.4,51,1015.8,90.8,12.1,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-06T02:00:00,5.8,4.3,2.4,78.92,0,0,,0,0,15.1,7.2,41,1016.1,100,10.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-06T03:00:00,5.1,5.1,3.3,88.04,0,0,,0,0,15.1,3.9,42,1016.3,100,8,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2024-03-06T04:00:00,5,5,2.8,85.7,0,0,,0,0,12.6,3.7,50,1016.4,90.2,9.9,,,,,Overcast,cloudy,"15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
